No.,Time,Source,Destination,Protocol,Length,Info
7592,18.357236,104.198.218.190,10.1.10.11,TLSv1.2,249,Application Data
7599,18.360563,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7627,18.40219,104.198.218.190,10.1.10.11,TLSv1.2,121,Application Data
7667,18.443592,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7728,18.532364,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7778,18.615129,104.198.218.190,10.1.10.11,TLSv1.2,249,Application Data
7799,18.625015,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7813,18.660026,104.198.218.190,10.1.10.11,TLSv1.2,129,Application Data
7837,18.692703,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7875,18.782928,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7877,18.784973,104.198.218.190,10.1.10.11,TLSv1.2,249,Application Data
7899,18.838037,104.198.218.190,10.1.10.11,TLSv1.2,126,Application Data
7918,18.868012,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7934,18.910857,104.198.218.190,10.1.10.11,TLSv1.2,249,Application Data
7967,18.952799,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
7971,18.954011,104.198.218.190,10.1.10.11,TLSv1.2,123,Application Data
8027,19.033042,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8030,19.041718,104.198.218.190,10.1.10.11,TLSv1.2,249,Application Data
8051,19.086312,104.198.218.190,10.1.10.11,TLSv1.2,132,Application Data
8064,19.122531,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8066,19.131048,104.198.218.190,10.1.10.11,TLSv1.2,331,"Application Data, Application Data"
8084,19.176169,104.198.218.190,10.1.10.11,TLSv1.2,609,"Application Data, Application Data, Application Data, Application Data"
8103,19.202493,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8108,19.220332,104.198.218.190,10.1.10.11,TLSv1.2,332,"Application Data, Application Data"
8150,19.292892,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8196,19.376198,104.198.218.190,10.1.10.11,TLSv1.2,271,Application Data
8207,19.389263,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8260,19.465569,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8316,19.552972,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8349,19.633179,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8353,19.642263,104.198.218.190,10.1.10.11,TLSv1.2,271,Application Data
8394,19.690465,104.198.218.190,10.1.10.11,TLSv1.2,125,Application Data
8432,19.724013,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8509,19.803459,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8607,19.894229,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8653,19.975136,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8656,19.977587,104.198.218.190,10.1.10.11,TLSv1.2,271,Application Data
8696,20.026068,104.198.218.190,10.1.10.11,TLSv1.2,131,Application Data
8713,20.06293,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8715,20.073176,104.198.218.190,10.1.10.11,TLSv1.2,271,Application Data
8736,20.121436,104.198.218.190,10.1.10.11,TLSv1.2,430,"Application Data, Application Data, Application Data"
